go run cmd/server/main.go
2026/05/08 16:49:43 config path: ./config/config-local.yml
{"level":"info","ts":1778233783.9944608,"caller":"server/main.go:36","msg":"starting CMS Service","service":"cdc-cms-service","port":":8083"}
{"level":"info","ts":1778233783.9956899,"caller":"observability/otel.go:85","msg":"OpenTelemetry initialized","service":"cdc-cms","endpoint":"http://localhost:14318","sample_ratio":1}
{"level":"info","ts":1778233783.995755,"msg":"OTel zap bridge active — logs forwarding to SigNoz"}
{"level":"info","ts":1778233784.0472262,"msg":"PostgreSQL (control plane) connected"}
{"level":"info","ts":1778233784.068557,"msg":"PostgreSQL (shadow data plane) connected","host":"localhost","port":5436,"database":"cdc_shadow"}
{"level":"info","ts":1778233784.08466,"msg":"NATS JetStream connected","url":"nats://cdc_worker:worker_secret_2026@localhost:14222"}
{"level":"info","ts":1778233784.089108,"msg":"Redis connected","addr":"localhost:16379"}
{"level":"info","ts":1778233784.0894458,"msg":"CMS Service started","port":":8083"}
{"level":"info","ts":1778233784.08946,"msg":"system health collector started"}
{"level":"info","ts":1778233784.089464,"msg":"audit logger started"}
{"level":"info","ts":1778233784.0894668,"msg":"alert background resolver started"}
{"level":"info","ts":1778233784.089646,"msg":"stuck job reaper started","interval":30,"type_count":16,"default_timeout":30}
16:49:44 | 204 |     298.292µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:49:44 | 200 |  149.150583ms | 127.0.0.1 | GET | /api/v1/sources | -
16:49:45 | 204 |      23.417µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:49:45 | 200 |   91.824542ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:49:46 | 204 |       7.875µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:49:46 | 200 |   15.971417ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:49:56 | 204 |     111.583µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:49:56 | 200 |    9.098542ms | 127.0.0.1 | GET | /api/v1/masters | -
16:50:00 | 204 |      16.792µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:50:00 | 200 |    22.74475ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:50:01 | 204 |      17.417µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:50:01 | 200 |   24.770917ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:50:01 | 204 |      10.125µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:50:01 | 200 |   15.234542ms | 127.0.0.1 | GET | /api/v1/sources | -
16:50:11 | 204 |       6.334µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:50:11 | 200 |  111.670792ms | 127.0.0.1 | GET | /api/v1/masters | -
16:50:15 | 204 |       9.041µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:50:15 | 200 |    2.701125ms | 127.0.0.1 | GET | /api/v1/sources | -
16:50:15 | 204 |      108.75µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:50:15 | 200 |   33.004166ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:50:16 | 204 |      25.916µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:50:16 | 200 |   21.552375ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:50:26 | 204 |      26.583µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:50:26 | 200 |     32.8435ms | 127.0.0.1 | GET | /api/v1/masters | -
16:50:30 | 204 |        33.5µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:50:30 | 200 |  270.173833ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:50:31 | 204 |      31.666µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:50:31 | 200 |    19.57825ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:50:31 | 204 |       4.875µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:50:31 | 200 |    11.98775ms | 127.0.0.1 | GET | /api/v1/sources | -
16:50:41 | 204 |      38.042µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:50:41 | 200 |   43.964875ms | 127.0.0.1 | GET | /api/v1/masters | -
16:50:42 | 204 |      19.791µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:50:45 | 204 |      58.625µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:50:45 | 200 |     2.01725ms | 127.0.0.1 | GET | /api/v1/sources | -
16:50:45 | 204 |      15.709µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:50:45 | 200 |   11.466792ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:50:46 | 200 |   16.496375ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:50:56 | 204 |          52µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:50:56 | 200 |       6.144ms | 127.0.0.1 | GET | /api/v1/masters | -
16:51:00 | 204 |       6.542µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:51:00 | 200 |    8.382667ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:51:01 | 204 |      22.166µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
